Complexity;QPU;Energy;Category
Job10;FujitsuDAU;-7.9;QPU
Job10;FujitsuDAU;-7.9;QPU
Job10;FujitsuDAU;-7.9;QPU
Job10;FujitsuDAU;-7.9;QPU
Job10;FujitsuDAU;-7.9;QPU
Job10;FujitsuDAU;-7.9;QPU
Job10;FujitsuDAU;-7.9;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job10;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-8;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.93;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
Job20;FujitsuDAU;-7.9;QPU
